Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Duration_mm,Duration_ss
Release,Afro Celt Sound System,Volume 2: Release (Real World Gold),2005-01-01,456160,4,0.633,0.828,F,-7.266,Minor,0.048,0.0216,0.0558,0.108,0.537,100.089,31,7,36.16
Saor / Free / News from Nowhere,Afro Celt Sound System,Vol. 1: Sound Magic (Real World Gold),1999-01-01,501093,4,0.511,0.524,G,-10.504,Major,0.0305,0.026,0.879,0.106,0.118,81.996,24,8,21.09
When You're Falling,Afro Celt Sound System,Volume 3 : Further In Time (Real World Gold),2003-01-01,314160,4,0.638,0.822,B,-7.305,Major,0.038,0.0508,2.54e-05,0.0895,0.802,99.01,36,5,14.16
Whirl-Y-Reel 1,Afro Celt Sound System,Vol. 1: Sound Magic (Real World Gold),1999-01-01,441200,4,0.645,0.81,D,-8.133,Major,0.0381,0.132,0.395,0.0825,0.53,132.021,25,7,21.20
Electric Rendezvous,Al Di Meola,Electric Rendezvous,1982-01-01,467266,4,0.337,0.658,A,-12.241,Major,0.0388,0.101,0.748,0.113,0.507,108.143,19,7,47.27
"Fantasia Suite - Live at Warfield Theatre, San Francisco, CA - December 5, 1980",Al Di Meola,Friday Night in San Francisco,1981-01-01,530506,4,0.341,0.497,A,-13.473,Major,0.0344,0.726,0.537,0.763,0.458,100.246,27,8,50.51
"Lady of Rome, Sister of Brazil",Al Di Meola,Elegant Gypsy,1980-01-01,106240,4,0.71,0.267,A,-16.617,Major,0.0435,0.868,0.706,0.0676,0.18,110.909,34,1,46.24
"Mediterranean Sundance / Rio Ancho - Live at Warfield Theatre, San Francisco, CA - December 5, 1980",Al Di Meola,Friday Night in San Francisco,1981-01-01,691306,4,0.415,0.576,E,-11.628,Minor,0.0331,0.834,0.808,0.698,0.556,100.54,46,11,31.31
Race With Devil On Spanish Highway,Al Di Meola,Elegant Gypsy,1979-01-01,378266,4,0.318,0.772,D,-11.606,Major,0.0633,0.139,0.531,0.238,0.661,88.648,28,6,18.27
The Wizard,Al Di Meola,Land Of The Midnight Sun,1986-01-01,406133,4,0.378,0.552,F# / Gb,-14.155,Major,0.0519,0.369,0.851,0.247,0.652,157.859,18,6,46.13
Ai Du (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,1990-01-01,429973,3,0.57,0.225,F,-17.168,Minor,0.029,0.306,0.0586,0.0689,0.408,151.78,53,7,9.97
Banga (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,2013-01-01,152826,4,0.511,0.306,B,-22.718,Major,0.0617,0.636,0.843,0.0905,0.631,77.991,29,2,32.83
Bonde (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,2013-01-01,328826,4,0.514,0.532,D,-17.026,Major,0.0936,0.712,0.00523,0.0816,0.553,113.821,45,5,28.83
Diaraby (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,1990-01-01,446826,4,0.558,0.275,G,-18.639,Minor,0.036,0.784,0.0706,0.0831,0.325,142.681,38,7,26.83
Gomni (with Ry Cooder),Ali Farka Touré,Talking Timbuktu,1990-01-01,420800,4,0.404,0.393,G# / Ab,-18.083,Major,0.0368,0.479,0.21,0.0387,0.7,78.914,37,7,0.80
Inchana Massina (feat. Nitin Sawhney),Ali Farka Touré,The Source,2005-01-01,313760,4,0.542,0.511,F# / Gb,-12.026,Major,0.0349,0.776,0.278,0.0732,0.44,80.762,16,5,13.76
Karaw,Ali Farka Touré,The Source,2001-01-01,388493,4,0.423,0.433,F,-11.381,Minor,0.0343,0.837,0.0197,0.0903,0.513,89.55,12,6,28.49
Savane,Ali Farka Touré,Savane,2006-01-01,463266,4,0.776,0.279,E,-10.45,Minor,0.0615,0.772,0.134,0.0567,0.509,135.866,40,7,43.27
Soko,Ali Farka Touré,Radio Mali,2004-01-01,308866,3,0.727,0.228,C,-13.501,Major,0.042,0.857,0.0,0.136,0.756,112.287,17,5,8.87
Yer Bounda Fara,Ali Farka Touré,Savane,1994-01-01,256853,4,0.813,0.367,D# / Eb,-9.87,Major,0.0399,0.724,0.00247,0.101,0.733,117.08,23,4,16.85
Eshurruru,Ali Mohammed Birra,Ethiopiques 28 - Great Oromo Music,1979-01-01,288346,3,0.449,0.699,C,-7.716,Major,0.0342,0.852,0.00306,0.12,0.737,158.353,24,4,48.35
Imiman Jalaala,Ali Mohammed Birra,Ethiopiques 28 - Great Oromo Music,1980-01-01,300080,4,0.302,0.443,B,-8.31,Major,0.0317,0.956,0.73,0.259,0.615,96.406,20,5,0.08
Inyaadi'ini,Ali Mohammed Birra,Ethiopiques 28 - Great Oromo Music,1980-01-01,269093,3,0.366,0.655,B,-6.264,Minor,0.036,0.892,0.462,0.182,0.696,144.054,20,4,29.09
Kan ati fettun isani infedhani,Ali Mohammed Birra,Ethiopiques 28 - Great Oromo Music,1981-01-01,284546,3,0.487,0.735,E,-6.399,Major,0.035,0.942,3.22e-06,0.252,0.961,155.738,14,4,44.55
Si jaalallee - 1975,Ali Mohammed Birra,Ethiopiques 28 - Great Oromo Music,1975-01-01,247040,3,0.388,0.602,G# / Ab,-7.172,Minor,0.0396,0.929,0.308,0.137,0.847,161.244,17,4,7.04
Afrika - Live,Angelique Kidjo,Spirit Rising (Live),1998-01-01,258000,4,0.586,0.956,G,-5.052,Major,0.112,0.537,0.0,0.965,0.622,111.875,9,4,18.00
Agolo,Angelique Kidjo,Aye,1994-01-01,289493,4,0.701,0.808,C,-8.205,Major,0.0439,0.0367,0.139,0.377,0.835,93.951,37,4,49.49
Batonga,Angelique Kidjo,Logozo,2005-01-01,276840,4,0.682,0.804,G# / Ab,-11.932,Major,0.0538,0.0396,0.602,0.1,0.872,109.271,28,4,36.84
Malaika,Angelique Kidjo,Logozo,2005-01-01,259200,4,0.496,0.223,D,-16.843,Major,0.0576,0.744,0.0,0.0547,0.456,170.123,26,4,19.20
Pata Pata,Angelique Kidjo,Pata Pata,1990-01-01,172880,4,0.834,0.899,C# / Db,-6.668,Major,0.102,0.206,0.0145,0.0787,0.906,130.01,8,2,52.88
Samba Pa Ti,Angelique Kidjo,OYO (Deluxe Edition),1998-01-01,217613,4,0.648,0.426,D# / Eb,-8.344,Major,0.03,0.585,0.0117,0.149,0.665,85.115,20,3,37.61
Voodoo Child (Slight Return),Angelique Kidjo,Oremi,1996-01-01,229273,4,0.741,0.627,G# / Ab,-7.422,Minor,0.047,0.0768,0.105,0.176,0.407,88.004,18,3,49.27
We Are One,Angelique Kidjo,The Lion King 2: Simba's Pride,1997-01-01,250760,4,0.551,0.506,A# / Bb,-9.697,Major,0.0307,0.33,0.000339,0.228,0.283,81.628,37,4,10.76
Wombo Lombo,Angelique Kidjo,Fifa,1996-01-01,255333,4,0.724,0.749,C# / Db,-8.0,Major,0.0751,0.0727,0.254,0.0858,0.514,93.827,28,4,15.33
Akiwowo (Ah-Key-Woh-Woh),Babatunde Olatunji,Drums Of Passion,1963-01-01,282333,4,0.623,0.941,G# / Ab,-5.987,Minor,0.179,0.271,0.000536,0.125,0.381,123.615,19,4,42.33
Jin-Go-Lo-Ba (Jin-Go-Low-Bah),Babatunde Olatunji,Drums Of Passion,1959-01-01,205266,4,0.714,0.894,C,-4.536,Major,0.042,0.523,0.00706,0.117,0.647,125.995,27,3,25.27
Oya (Aw-Yah),Babatunde Olatunji,Drums Of Passion,1980-01-01,335293,4,0.624,0.884,B,-5.755,Minor,0.0637,0.0479,0.763,0.0962,0.415,134.794,18,5,35.29
"Gone, Just Like a Train",Bill Frisell,"Gone, Just Like a Train",2000-01-01,331133,4,0.58,0.307,D,-12.98,Major,0.0494,0.109,0.858,0.131,0.244,115.735,6,5,31.13
In Line,Bill Frisell,In Line,2000-01-01,279000,3,0.394,0.2,D,-20.953,Minor,0.0388,0.909,0.924,0.0926,0.112,113.277,12,4,39.00
Lookout for Hope,Bill Frisell,Four,2000-01-01,309733,4,0.391,0.309,E,-15.062,Minor,0.0334,0.951,0.805,0.361,0.171,112.492,30,5,9.73
"Rain, Rain",Bill Frisell,"Good Dog, Happy Man",1984-01-01,165800,4,0.285,0.0546,C,-18.833,Major,0.0382,0.909,0.811,0.145,0.121,79.065,38,2,45.80
Rambler,Bill Frisell,Rambler,1987-01-01,492266,4,0.399,0.237,C,-18.084,Major,0.0329,0.845,0.967,0.119,0.573,127.871,23,8,12.27
Start,Bill Frisell,In Line,2001-01-01,353506,3,0.208,0.0156,C,-28.158,Major,0.0375,0.969,0.927,0.0795,0.0388,65.097,22,5,53.51
Strange Meeting - Live/Umbria Jazz Orchestra,Bill Frisell,Orchestras (Live),1996-01-01,384733,4,0.469,0.28,F,-14.595,Minor,0.025,0.854,0.806,0.0993,0.263,100.917,24,6,24.73
The Pioneers,Bill Frisell,Music IS,1995-01-01,253586,4,0.439,0.0643,G,-20.274,Major,0.0627,0.912,0.734,0.11,0.366,91.034,35,4,13.59
Ederlezi,Boban Markovic Orkestar,Live in Belgrade,1988-01-01,343186,5,0.227,0.227,A,-15.695,Minor,0.0354,0.882,0.861,0.261,0.036,140.686,16,5,43.19
SAT,Boban Markovic Orkestar,Boban I Marko,1998-01-01,263933,4,0.775,0.263,G# / Ab,-10.551,Major,0.0481,0.948,0.927,0.107,0.551,101.928,36,4,23.93
Another Night In Tunisia,Bobby McFerrin,The Best Of Bobby McFerrin,1984-01-01,254626,4,0.667,0.429,A,-17.68,Minor,0.698,0.587,1.98e-06,0.0934,0.735,82.106,10,4,14.63
Don't Worry Be Happy,Bobby McFerrin,Simple Pleasures,1988-01-01,294400,4,0.675,0.166,B,-22.602,Major,0.171,0.88,7.14e-05,0.0461,0.747,68.837,68,4,54.40
Drive My Car,Bobby McFerrin,Simple Pleasures,1988-01-01,164165,4,0.886,0.19,C,-19.927,Major,0.105,0.722,0.000309,0.0642,0.595,118.099,26,2,44.16
Good Lovin',Bobby McFerrin,Simple Pleasures,1988-01-01,178773,4,0.566,0.385,G# / Ab,-15.936,Major,0.314,0.743,0.0,0.254,0.844,121.817,30,2,58.77
I Hear Music,Bobby McFerrin,Spontaneous Inventions,1988-01-01,234466,4,0.646,0.372,A# / Bb,-16.453,Minor,0.539,0.795,6.16e-05,0.779,0.785,121.464,7,3,54.47
The 23rd Psalm,Bobby McFerrin,Medicine Music,1994-01-01,188706,3,0.283,0.0198,A# / Bb,-26.16,Major,0.0401,0.979,0.0,0.0862,0.0546,138.242,22,3,8.71
Thinkin' About Your Body - Live,Bobby McFerrin,Spontaneous Inventions,1993-01-01,195133,4,0.581,0.224,C,-19.336,Minor,0.155,0.679,0.0013,0.116,0.449,96.211,25,3,15.13
A Szerelemről,Both Miklós Folkside,Csillagfészek,2010-01-01,395933,4,0.351,0.256,G,-11.14,Major,0.0305,0.761,0.00191,0.359,0.133,59.52,0,6,35.93
Csillagfészek,Both Miklós Folkside,Csillagfészek,2010-01-01,342293,4,0.452,0.72,G,-6.923,Major,0.0431,0.00423,0.0349,0.0769,0.415,150.125,0,5,42.29
Izlel E Delio Haidutin,Bulgarian State Television Female Choir,Le Mystere Des Voix Bulgares Vol.3,1986-01-01,226373,4,0.206,0.204,G,-11.055,Minor,0.0352,0.948,0.00781,0.107,0.112,83.561,4,3,46.37
Kalimankou Denkou (The Evening Gathering),Bulgarian State Television Female Choir,Le Mystere Des Voix Bulgares,1986-01-01,306133,5,0.194,0.191,B,-15.752,Minor,0.0412,0.977,0.036,0.319,0.0326,128.433,22,5,6.13
Kaval Sviri (The Flute Plays),Bulgarian State Television Female Choir,"Le Mystère des Voix Bulgares, Vol. 2",1986-01-01,131706,3,0.179,0.287,F,-15.415,Major,0.0395,0.847,8.24e-06,0.361,0.18,92.063,23,2,11.71
Prïtoutïtze Planinata (Song from the Thracian Plain),Bulgarian State Television Female Choir,Le Mystere Des Voix Bulgares,1986-01-01,165826,5,0.184,0.125,F# / Gb,-9.291,Minor,0.036,0.922,0.0228,0.0596,0.0852,88.717,14,2,45.83
Svatba (The Wedding),Bulgarian State Television Female Choir,Le Mystere Des Voix Bulgares,1988-01-01,87226,4,0.356,0.371,E,-12.668,Minor,0.0347,0.958,1.17e-05,0.293,0.489,105.443,19,1,27.23
Basic Instructions,Burlap To Cashmere,Anybody Out There?,1998-01-01,239306,4,0.608,0.97,A,-8.578,Minor,0.062,0.112,0.0225,0.051,0.536,135.779,31,3,59.31
Treasures In Heaven,Burlap To Cashmere,Anybody Out There?,1998-01-01,267866,4,0.664,0.455,G,-8.908,Major,0.0238,0.0499,4.48e-06,0.123,0.496,94.999,27,4,27.87
Abatina,Calypso Rose,Far from Home,2003-01-01,224630,4,0.753,0.881,C,-4.443,Major,0.0653,0.232,3.83e-05,0.151,0.724,103.968,59,3,44.63
Baila Mami (feat. Nailah Blackman & Lao Ra),Calypso Rose,Calypso Rose and Friends,2019-01-01,177066,4,0.667,0.918,F,-3.788,Minor,0.0521,0.138,0.0,0.288,0.885,99.994,14,2,57.07
Calypso Blues,Calypso Rose,So Calypso !,2003-01-01,260120,4,0.946,0.49,D,-7.989,Minor,0.0901,0.0604,4.79e-05,0.0468,0.768,129.947,57,4,20.12
Calypso Queen,Calypso Rose,Far from Home,2007-01-01,197813,4,0.658,0.622,B,-7.427,Major,0.0879,0.418,0.000138,0.105,0.901,84.739,61,3,17.81
Fire in Me Wire,Calypso Rose,Soul on Fire,2004-01-01,295400,4,0.849,0.663,F,-10.881,Minor,0.0416,0.356,0.0192,0.0518,0.94,126.776,17,4,55.40
Leave Me Alone - Kubiyashi Remix,Calypso Rose,Leave Me Alone (feat. Manu Chao) [Remixes],2007-01-01,216170,4,0.781,0.784,B,-4.553,Minor,0.182,0.153,0.0,0.0529,0.919,105.017,16,3,36.17
Ailein Duinn,Capercaillie,To The Moon,1992-01-01,216773,4,0.484,0.266,D# / Eb,-14.555,Minor,0.0271,0.0368,0.0331,0.0759,0.0772,103.857,34,3,36.77
"Coisich, a Ruin",Capercaillie,Delirium,1992-01-01,193066,4,0.699,0.565,B,-10.656,Minor,0.0551,0.397,2.76e-06,0.102,0.58,120.853,16,3,13.07
Nighean Dubh Nighean Donn,Capercaillie,At the Heart of It All,2000-01-01,273906,4,0.495,0.553,C,-7.817,Major,0.0459,0.688,2.41e-06,0.0908,0.664,95.379,10,4,33.91
S' Och A' Dhomhnaill Oig Ghaolaich,Capercaillie,At the Heart of It All,1992-01-01,244986,4,0.478,0.516,D,-8.496,Minor,0.0329,0.659,1.43e-05,0.105,0.702,170.031,28,4,4.99
Skye Waulking Song,Capercaillie,Nadurra,2000-01-01,280333,3,0.39,0.425,G,-10.297,Major,0.0413,0.776,0.000281,0.0413,0.423,172.076,17,4,40.33
The Jura Wedding Reels,Capercaillie,At the Heart of It All,2000-01-01,225760,4,0.617,0.797,A,-6.516,Major,0.0361,0.531,0.00386,0.106,0.866,111.04,41,3,45.76
Cumbia sobre el río / Interludio,Celso Piña,Barrio Bravo,1996-01-01,342973,4,0.711,0.816,C# / Db,-6.397,Major,0.0515,0.0237,0.797,0.294,0.861,96.999,59,5,42.97
Petit pays,Cesária Evora,Cesaria,1989-01-01,224506,4,0.551,0.488,E,-11.583,Minor,0.0321,0.804,0.0,0.264,0.855,156.152,58,3,44.51
Sodade,Cesária Evora,Miss Perfumado,1992-01-01,293640,4,0.575,0.43,G# / Ab,-13.168,Major,0.0363,0.822,0.000661,0.115,0.427,82.691,58,4,53.64
À Primeira Vista,Chico César,Aos Vivos,1995-01-01,216800,4,0.542,0.148,B,-12.99,Major,0.0394,0.782,0.0,0.704,0.248,89.585,59,3,36.80
Mama África,Chico César,Aos Vivos,1995-01-01,214826,4,0.676,0.469,C# / Db,-8.715,Minor,0.0482,0.648,0.0,0.987,0.885,163.709,49,3,34.83
Pensar Em Você,Chico César,Mama Mundi,1996-01-01,236373,4,0.717,0.502,D,-10.684,Major,0.0501,0.254,0.0,0.107,0.399,88.057,43,3,56.37
Shusha Nyavu,Christina Shusho,Shusha Nyavu,1997-01-01,226866,4,0.689,0.781,G,-4.904,Major,0.156,0.188,2.79e-05,0.0907,0.72,90.064,44,3,46.87
Unikumbuke,Christina Shusho,Unikumbuke,1997-01-01,452756,3,0.752,0.435,D,-10.247,Major,0.0513,0.835,0.0,0.105,0.568,132.167,35,7,32.76
Look so Good,David Lindley,Win This Record,1985-01-01,92906,3,0.391,0.0285,E,-23.44,Major,0.0368,0.875,0.15,0.306,0.323,88.264,32,1,32.91
Talk to the Lawyer,David Lindley,Win This Record,1985-01-01,300560,4,0.71,0.633,D,-13.363,Major,0.0333,0.178,0.000437,0.116,0.963,126.108,17,5,0.56
Ballad Of The Sad Young Men,Davy Graham,"Folk, Blues & Beyond",1964-01-01,192600,4,0.525,0.0815,D,-17.799,Minor,0.0415,0.82,5.13e-05,0.0782,0.22,69.118,8,3,12.60
Cocaine,Davy Graham,"Folk, Blues & Beyond",1969-01-01,147466,3,0.576,0.141,E,-17.158,Major,0.0347,0.932,1.85e-06,0.111,0.392,140.792,30,2,27.47
Cry Me a River,Davy Graham,The Guitar Player,1965-01-01,139546,4,0.6,0.0831,D,-25.66,Minor,0.0368,0.923,0.917,0.0933,0.224,104.599,9,2,19.55
Fire In My Soul,Davy Graham,Midnight Man,1965-01-01,110560,4,0.549,0.417,D,-18.878,Major,0.0715,0.521,0.645,0.108,0.358,100.411,28,1,50.56
She Moved Through The Fair,Davy Graham,"Folk, Blues & Beyond",1964-01-01,194400,4,0.437,0.204,G# / Ab,-20.494,Major,0.109,0.914,0.886,0.657,0.521,90.088,18,3,14.40
Wilt Thou Unkind,Davy Graham,The Holly Kaleidoscope,1977-01-01,52333,4,0.641,0.0378,B,-27.365,Minor,0.0577,0.928,0.955,0.107,0.509,97.369,1,0,52.33
Black Sun - Remastered,Dead Can Dance,Aion (Remastered),1987-01-01,296506,4,0.477,0.488,F,-11.48,Major,0.031,0.0365,2.75e-05,0.614,0.129,133.715,32,4,56.51
Cantara - Remastered,Dead Can Dance,Within the Realm of a Dying Sun (Remastered),1984-01-01,358293,3,0.301,0.512,C# / Db,-11.001,Major,0.0273,0.000695,0.767,0.0922,0.0531,120.236,35,5,58.29
Enigma of the Absolute - Remastered,Dead Can Dance,Spleen and Ideal (Remastered),1990-01-01,254040,4,0.39,0.472,G,-9.174,Minor,0.0318,2.14e-06,0.703,0.354,0.309,112.11,23,4,14.04
In the Kingdom of the Blind the One-Eyed Are Kings - Remastered,Dead Can Dance,The Serpent's Egg (Remastered),1991-01-01,252480,4,0.146,0.161,F,-13.277,Minor,0.0319,0.237,0.00297,0.102,0.0468,79.9,28,4,12.48
Rakim - Live Remastered,Dead Can Dance,Toward the Within (Remastered),1991-01-01,385373,4,0.335,0.86,D,-8.29,Major,0.0507,0.0282,0.000539,0.927,0.0383,157.008,33,6,25.37
Saltarello - Remastered,Dead Can Dance,Aion (Remastered),1991-01-01,154173,4,0.52,0.608,D,-11.985,Minor,0.0297,0.000152,0.431,0.322,0.434,109.011,37,2,34.17
Sanvean - Live Remastered,Dead Can Dance,Toward the Within (Remastered),1993-01-01,238693,3,0.106,0.24,A,-12.08,Minor,0.0379,0.936,0.0742,0.674,0.0388,90.689,29,3,58.69
The Host of Seraphim - Remastered,Dead Can Dance,The Serpent's Egg (Remastered),1993-01-01,378173,3,0.0853,0.293,F,-13.076,Minor,0.0415,0.00621,0.863,0.108,0.0309,168.753,45,6,18.17
The Ubiquitous Mr. Lovegrove - Remastered,Dead Can Dance,Into the Labyrinth (Remastered),1993-01-01,377213,4,0.611,0.496,F,-11.018,Major,0.0306,0.211,0.000396,0.109,0.188,161.862,36,6,17.21
Yulunga (Spirit Dance),Dead Can Dance,Into the Labyrinth (Remastered),1992-01-01,415613,4,0.331,0.318,D,-14.095,Major,0.0408,0.27,0.891,0.115,0.0381,95.299,40,6,55.61
Mazha Paadum,Deepak Dev,Sunday Holiday (Original Motion Picture Soundtrack),2002-01-01,266102,3,0.659,0.353,C,-9.648,Major,0.0317,0.864,2.34e-06,0.151,0.548,104.042,54,4,26.10
Nilakudame,Deepak Dev,Chirakodinja Kinavukal (Original Motion Picture Soundtrack),2002-01-01,275322,4,0.577,0.487,E,-6.859,Major,0.0278,0.791,8.2e-05,0.169,0.531,123.888,19,4,35.32
Forever And Ever,Demis Roussos,Forever And Ever,1973-01-01,221266,4,0.361,0.57,D# / Eb,-9.065,Major,0.034,0.356,0.0,0.16,0.642,117.653,48,3,41.27
Goodbye My Love Goodbye,Demis Roussos,Forever And Ever,1973-01-01,234866,4,0.267,0.442,G,-10.41,Major,0.0304,0.736,0.0,0.15,0.257,91.715,40,3,54.87
I Dig You,Demis Roussos,Collected,1971-01-01,247733,4,0.552,0.709,B,-13.087,Major,0.0411,0.0897,0.0867,0.288,0.849,116.079,26,4,7.73
